league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2020-09-21 17:00:00,Aston Villa,h,0.80527,0.849709,0.80527,0.0885404,4.45,17.642857142857142,17,2,1,0,1.1601,w,1,0,0,3
EPL,2020,2020-09-28 17:00:00,Aston Villa,a,2.03222,0.534675,2.03222,0.534675,9.303030303030305,5.958333333333333,10,5,3,0,2.4631,w,1,0,0,3
EPL,2020,2020-10-04 18:15:00,Aston Villa,h,3.07626,1.65705,3.07626,1.65705,14.6,4.76,7,18,7,2,2.2569,w,1,0,0,3
EPL,2020,2020-10-18 18:15:00,Aston Villa,a,0.873776,0.671595,0.873776,0.671595,9.217391304347826,8.75,7,4,1,0,1.5291,w,1,0,0,3
EPL,2020,2020-10-23 19:00:00,Aston Villa,h,1.50125,2.37695,1.50125,2.37695,13.235294117647058,3.647058823529412,7,20,0,3,0.8236000000000001,l,0,0,1,0
EPL,2020,2020-11-01 12:00:00,Aston Villa,h,2.44855,1.00333,1.68738,1.00333,7.0,7.454545454545454,5,2,3,4,2.3854,l,0,0,1,0
EPL,2020,2020-11-08 19:15:00,Aston Villa,a,1.98553,1.39037,1.98553,1.39037,13.791666666666666,11.266666666666667,16,6,3,0,1.8074,w,1,0,0,3
EPL,2020,2020-11-21 15:00:00,Aston Villa,h,1.76514,1.50038,1.76514,1.50038,18.357142857142858,12.235294117647058,6,4,1,2,1.6157,l,0,0,1,0
EPL,2020,2020-11-30 20:00:00,Aston Villa,a,2.39051,0.571633,1.62934,0.571633,13.090909090909092,12.565217391304348,8,2,1,2,2.6792,l,0,0,1,0
EPL,2020,2020-12-12 12:30:00,Aston Villa,a,1.26872,1.1356,0.507552,1.1356,5.785714285714286,8.3,5,6,1,0,1.4946,w,1,0,0,3
EPL,2020,2020-12-17 18:00:00,Aston Villa,h,1.81142,0.316737,1.81142,0.316737,5.285714285714286,5.774193548387097,9,1,0,0,2.4833,d,0,1,0,1
EPL,2020,2020-12-20 19:15:00,Aston Villa,a,2.61964,0.0388442,1.85847,0.0388442,8.352941176470589,14.31578947368421,12,1,3,0,2.9518999999999997,w,1,0,0,3
EPL,2020,2020-12-26 15:00:00,Aston Villa,h,4.58214,0.849086,4.58214,0.849086,9.84,7.571428571428571,9,12,3,0,2.9483,w,1,0,0,3
EPL,2020,2020-12-28 17:30:00,Aston Villa,a,0.730859,1.53701,0.730859,1.53701,16.94736842105263,5.142857142857143,6,8,1,1,0.6555,d,0,1,0,1
EPL,2020,2021-01-01 20:00:00,Aston Villa,a,1.56434,2.46473,1.56434,1.70357,10.7,7.607142857142857,5,10,1,2,0.7895,l,0,0,1,0
EPL,2020,2021-01-20 20:00:00,Aston Villa,a,0.601768,3.34385,0.601768,2.58268,22.285714285714285,8.235294117647058,3,21,0,2,0.0983999999999999,l,0,0,1,0
EPL,2020,2021-01-23 20:00:00,Aston Villa,h,2.6026,0.400364,2.6026,0.400364,7.916666666666667,16.095238095238095,7,2,2,0,2.7983,w,1,0,0,3
EPL,2020,2021-01-27 18:00:00,Aston Villa,a,2.70718,0.717681,2.70718,0.717681,12.125,8.066666666666666,7,2,2,3,2.6656,l,0,0,1,0
EPL,2020,2021-01-30 20:00:00,Aston Villa,a,0.795508,2.22557,0.795508,2.22557,10.538461538461538,9.0625,4,17,1,0,0.4084,w,1,0,0,3
