league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2022,2022-08-06 14:00:00,Aston Villa,a,0.488895,0.588341,0.488895,0.588341,6.608695652173913,11.68,11,3,0,2,1.1566999999999998,l,0,0,1,0
EPL,2022,2022-08-13 11:30:00,Aston Villa,h,2.66696,1.37507,2.66696,1.37507,9.304347826086955,18.615384615384617,13,4,2,1,2.3254,w,1,0,0,3
EPL,2022,2022-08-20 14:00:00,Aston Villa,a,0.803828,2.91137,0.803828,2.00662,7.411764705882353,13.944444444444445,3,8,1,3,0.2122,l,0,0,1,0
EPL,2022,2022-08-28 13:00:00,Aston Villa,h,0.304555,0.334589,0.304555,0.334589,13.5,17.55,4,3,0,1,1.1528,l,0,0,1,0
EPL,2022,2022-08-31 18:30:00,Aston Villa,a,0.297168,2.79971,0.297168,2.79971,14.63157894736842,9.882352941176473,3,18,1,2,0.0894,l,0,0,1,0
EPL,2022,2022-09-03 16:30:00,Aston Villa,h,0.279392,1.92143,0.279392,1.92143,43.90909090909091,13.545454545454543,2,12,1,1,0.2217,d,0,1,0,1
EPL,2022,2022-09-16 19:00:00,Aston Villa,h,1.34365,0.218302,1.34365,0.218302,5.948717948717949,8.04,6,2,1,0,2.4747,w,1,0,0,3
EPL,2022,2022-10-02 15:30:00,Aston Villa,a,1.89645,0.298626,1.89645,0.298626,9.583333333333334,13.333333333333334,12,6,0,0,2.6060000000000003,d,0,1,0,1
EPL,2022,2022-10-10 19:00:00,Aston Villa,a,0.657187,0.221346,0.657187,0.221346,7.136363636363637,25.272727272727273,9,0,1,1,1.7468,d,0,1,0,1
EPL,2022,2022-10-16 13:00:00,Aston Villa,h,2.44542,1.23643,2.44542,1.23643,14.037037037037036,13.533333333333331,6,5,0,2,2.2306,l,0,0,1,0
EPL,2022,2022-10-20 18:30:00,Aston Villa,a,0.711487,2.892,0.711487,2.13083,18.6,11.266666666666667,2,8,0,3,0.1854,l,0,0,1,0
EPL,2022,2022-10-23 13:00:00,Aston Villa,h,3.45617,1.00462,2.695,1.00462,7.172413793103448,7.363636363636363,9,3,4,0,2.8011,w,1,0,0,3
EPL,2022,2022-10-29 14:00:00,Aston Villa,a,0.270814,4.18808,0.270814,3.42692,17.5,10.72222222222222,2,15,0,4,0.0113,l,0,0,1,0
EPL,2022,2022-11-06 14:00:00,Aston Villa,h,0.578563,0.517189,0.578563,0.517189,18.0,10.956521739130435,5,10,3,1,1.3351,w,1,0,0,3
EPL,2022,2022-11-13 14:00:00,Aston Villa,a,1.15437,0.829107,0.393198,0.829107,16.38888888888889,4.96875,6,7,2,1,1.6934,w,1,0,0,3
EPL,2022,2022-12-26 17:30:00,Aston Villa,h,1.69155,3.50694,1.69155,3.50694,30.0,12.318181818181818,5,8,1,3,0.4063,l,0,0,1,0
EPL,2022,2023-01-01 14:00:00,Aston Villa,a,1.21733,0.569383,1.21733,0.569383,17.27777777777778,10.272727272727272,7,6,2,0,1.9871,w,1,0,0,3
EPL,2022,2023-01-04 20:00:00,Aston Villa,h,1.03226,0.832522,1.03226,0.832522,18.692307692307693,13.7,4,2,1,1,1.5178999999999998,d,0,1,0,1
EPL,2022,2023-01-13 20:00:00,Aston Villa,h,1.64599,2.46295,1.64599,2.46295,7.45,6.219512195121951,5,1,2,1,0.8034999999999999,w,1,0,0,3
EPL,2022,2023-01-21 15:00:00,Aston Villa,a,1.16432,0.672444,1.16432,0.672444,7.571428571428571,12.035714285714286,8,4,1,0,1.7348,w,1,0,0,3
EPL,2022,2023-02-04 15:00:00,Aston Villa,h,1.4989,2.49784,1.4989,2.49784,7.72,13.333333333333334,15,5,2,4,0.6897,l,0,0,1,0
EPL,2022,2023-02-12 16:30:00,Aston Villa,a,0.275348,3.60987,0.275348,2.8487,23.6,8.090909090909092,4,7,1,3,0.0284999999999999,l,0,0,1,0
EPL,2022,2023-02-18 12:30:00,Aston Villa,h,0.335752,2.85981,0.335752,2.85981,14.68421052631579,9.157894736842104,2,14,2,4,0.1094,l,0,0,1,0
EPL,2022,2023-02-25 15:00:00,Aston Villa,a,2.06037,1.54109,1.2992,1.54109,11.0,7.105263157894737,5,9,2,0,1.7866,w,1,0,0,3
EPL,2022,2023-03-04 15:00:00,Aston Villa,h,0.890605,0.152761,0.890605,0.152761,8.576923076923077,9.405405405405403,8,0,1,0,2.0777,w,1,0,0,3
