team,season,points,goals_for,goals_against,gd,position
Manchester City,2020-2021,86,83,32,51,1
Manchester United,2020-2021,74,73,44,29,2
Liverpool,2020-2021,69,68,42,26,3
Chelsea,2020-2021,67,58,36,22,4
leicester city,2020-2021,66,68,50,18,5
West Ham United,2020-2021,65,62,47,15,6
Tottenham Hotspur,2020-2021,62,68,45,23,7
Arsenal,2020-2021,61,55,39,16,8
Leeds United,2020-2021,59,62,54,8,9
Everton,2020-2021,59,47,48,-1,10
Aston Villa,2020-2021,55,55,46,9,11
Newcastle United,2020-2021,45,46,62,-16,12
Wolverhampton Wanderers,2020-2021,45,36,52,-16,13
Crystal Palace,2020-2021,44,41,66,-25,14
southampton,2020-2021,43,47,68,-21,15
Brighton and Hove Albion,2020-2021,41,40,46,-6,16
Burnley,2020-2021,39,33,55,-22,17
Fulham,2020-2021,28,27,53,-26,18
west brom,2020-2021,26,35,76,-41,19
sheffield united,2020-2021,23,20,63,-43,20
Manchester City,2021-2022,93,99,26,73,1
Liverpool,2021-2022,92,94,26,68,2
Chelsea,2021-2022,74,76,33,43,3
Tottenham Hotspur,2021-2022,71,69,40,29,4
Arsenal,2021-2022,69,61,48,13,5
Manchester United,2021-2022,58,57,57,0,6
West Ham United,2021-2022,56,60,51,9,7
leicester city,2021-2022,52,62,59,3,8
Brighton and Hove Albion,2021-2022,51,42,44,-2,9
Wolverhampton Wanderers,2021-2022,51,38,43,-5,10
Newcastle United,2021-2022,49,44,62,-18,11
Crystal Palace,2021-2022,48,50,46,4,12
Brentford,2021-2022,46,48,56,-8,13
Aston Villa,2021-2022,45,52,54,-2,14
southampton,2021-2022,40,43,67,-24,15
Everton,2021-2022,39,43,66,-23,16
Leeds United,2021-2022,38,42,79,-37,17
Burnley,2021-2022,35,34,53,-19,18
watford,2021-2022,23,34,77,-43,19
norwich city,2021-2022,22,23,84,-61,20
Manchester City,2022-2023,89,94,33,61,1
Arsenal,2022-2023,84,88,43,45,2
Manchester United,2022-2023,75,58,43,15,3
Newcastle United,2022-2023,71,68,33,35,4
Liverpool,2022-2023,67,75,47,28,5
Brighton and Hove Albion,2022-2023,62,72,53,19,6
Aston Villa,2022-2023,61,51,46,5,7
Tottenham Hotspur,2022-2023,60,70,63,7,8
Brentford,2022-2023,59,58,46,12,9
Fulham,2022-2023,52,55,53,2,10
Crystal Palace,2022-2023,45,40,49,-9,11
Chelsea,2022-2023,44,38,47,-9,12
Wolverhampton Wanderers,2022-2023,41,31,58,-27,13
West Ham United,2022-2023,40,42,55,-13,14
Bournemouth,2022-2023,39,37,71,-34,15
Nottingham Forest,2022-2023,38,38,68,-30,16
Everton,2022-2023,36,34,57,-23,17
leicester city,2022-2023,34,51,68,-17,18
Leeds United,2022-2023,31,48,78,-30,19
southampton,2022-2023,25,36,73,-37,20
Manchester City,2023-2024,91,96,34,62,1
Arsenal,2023-2024,89,91,29,62,2
Liverpool,2023-2024,82,86,41,45,3
Aston Villa,2023-2024,68,76,61,15,4
Tottenham Hotspur,2023-2024,66,74,61,13,5
Chelsea,2023-2024,63,77,63,14,6
Newcastle United,2023-2024,60,85,62,23,7
Manchester United,2023-2024,60,57,58,-1,8
West Ham United,2023-2024,52,60,74,-14,9
Crystal Palace,2023-2024,49,57,58,-1,10
Brighton and Hove Albion,2023-2024,48,55,62,-7,11
Everton,2023-2024,48,40,51,-11,12
Bournemouth,2023-2024,48,54,67,-13,13
Fulham,2023-2024,47,55,61,-6,14
Wolverhampton Wanderers,2023-2024,46,50,65,-15,15
Brentford,2023-2024,39,56,65,-9,16
Nottingham Forest,2023-2024,36,49,67,-18,17
luton town,2023-2024,26,52,85,-33,18
Burnley,2023-2024,24,41,78,-37,19
sheffield united,2023-2024,16,35,104,-69,20
Liverpool,2024-2025,84,86,41,45,1
Arsenal,2024-2025,74,69,34,35,2
Manchester City,2024-2025,71,72,44,28,3
Chelsea,2024-2025,69,64,43,21,4
Newcastle United,2024-2025,66,68,47,21,5
Aston Villa,2024-2025,66,58,51,7,6
Nottingham Forest,2024-2025,65,58,46,12,7
Brighton and Hove Albion,2024-2025,61,66,59,7,8
Bournemouth,2024-2025,56,58,46,12,9
Brentford,2024-2025,56,66,57,9,10
Fulham,2024-2025,54,54,54,0,11
Crystal Palace,2024-2025,53,51,51,0,12
Everton,2024-2025,48,42,44,-2,13
West Ham United,2024-2025,43,46,62,-16,14
Manchester United,2024-2025,42,44,54,-10,15
Wolverhampton Wanderers,2024-2025,42,54,69,-15,16
Tottenham Hotspur,2024-2025,38,64,65,-1,17
leicester city,2024-2025,25,33,80,-47,18
ipswich town,2024-2025,22,36,82,-46,19
southampton,2024-2025,12,26,86,-60,20
Arsenal,2025-2026,26,20,5,15,1
Manchester City,2025-2026,22,23,8,15,2
Chelsea,2025-2026,20,21,11,10,3
Sunderland,2025-2026,19,14,10,4,4
Tottenham Hotspur,2025-2026,18,19,10,9,5
Aston Villa,2025-2026,18,13,10,3,6
Manchester United,2025-2026,18,19,18,1,7
Liverpool,2025-2026,18,18,17,1,8
Bournemouth,2025-2026,18,17,18,-1,9
Crystal Palace,2025-2026,17,14,9,5,10
Brighton and Hove Albion,2025-2026,16,17,15,2,11
Brentford,2025-2026,16,17,17,0,12
Everton,2025-2026,15,12,13,-1,13
Newcastle United,2025-2026,12,11,14,-3,14
Fulham,2025-2026,11,12,16,-4,15
Leeds United,2025-2026,11,10,20,-10,16
Burnley,2025-2026,10,14,22,-8,17
West Ham United,2025-2026,10,13,23,-10,18
Nottingham Forest,2025-2026,9,10,20,-10,19
Wolverhampton Wanderers,2025-2026,2,7,25,-18,20
