team,hist_total_pts,start_price
Arsenal,377.0,113.6144578313253
Aston Villa,295.0,103.73493975903614
Bournemouth,143.0,85.42168674698794
Brentford,200.0,92.28915662650603
Brighton and Hove Albion,263.0,99.87951807228916
Burnley,98.0,80.0
Chelsea,317.0,106.3855421686747
Crystal Palace,239.0,96.98795180722891
Everton,230.0,95.90361445783132
Fulham,181.0,90.0
Leeds United,128.0,83.6144578313253
Liverpool,394.0,115.66265060240964
Manchester City,430.0,120.0
Manchester United,309.0,105.42168674698794
Newcastle United,291.0,103.25301204819277
Nottingham Forest,139.0,84.93975903614458
Tottenham Hotspur,297.0,103.97590361445783
West Ham United,256.0,99.03614457831326
Wolverhampton Wanderers,225.0,95.3012048192771
Sunderland,0.0,75.0
