team,start_price
Liverpool,220.0
Manchester City,187.69230769230768
Manchester United,160.76923076923077
Chelsea,160.76923076923077
Leicester City,153.5897435897436
Tottenham Hotspur,148.2051282051282
Wolverhampton Wanderers,144.6153846153846
Arsenal,142.82051282051282
Sheffield United,139.23076923076923
Burnley,139.23076923076923
Southampton,135.64102564102564
Everton,130.25641025641025
Newcastle United,121.28205128205128
Crystal Palace,119.48717948717949
Brighton and Hove Albion,115.8974358974359
West Ham United,112.3076923076923
Aston Villa,105.12820512820512
Bournemouth,103.33333333333333
Watford,103.33333333333333
Norwich City,80.0
