team,final_price,total_pts,avg_xG_diff,total_clean_sheets,total_card_points,avg_delta_P,team_normalized
Manchester City,335.6892751729888,452,,84,273,1.1725834585720836,manchester city
Liverpool,314.1961408446306,412,,74,319,1.0656524420130875,liverpool
Arsenal,309.684295286032,403,,77,329,1.043205449184239,arsenal
Chelsea,273.94344036798424,337,,68,441,0.8653902505869863,chelsea
Manchester United,268.9672409649992,327,,58,410,0.8406330396268615,manchester united
Tottenham Hotspur,263.03453844924553,315,,55,401,0.8111171067126643,tottenham hotspur
Aston Villa,261.6255406664917,313,,59,431,0.8041071674949836,aston villa
Newcastle United,257.7845652526518,303,,57,369,0.7849978370778697,newcastle united
Brighton and Hove Albion,245.01331270801305,279,,51,392,0.721459267204045,brighton and hove albion
West Ham United,239.07741954205255,266,,41,336,0.6919274604082216,west ham united
Crystal Palace,233.8041216316048,256,,55,386,0.6656921474209194,crystal palace
Everton,227.65315021140518,245,,57,424,0.6350902995592297,everton
Wolverhampton Wanderers,218.15378901737535,227,,45,417,0.5878297961063449,wolverhampton wanderers
Brentford,212.50544400761623,216,,38,303,0.6902174478994861,brentford
Fulham,199.57947205441954,192,,35,344,0.6109170064688315,fulham
Bournemouth,182.92315214126333,161,,30,284,0.6633852171301067,bournemouth
Nottingham Forest,176.3755968857506,148,,25,274,0.6110047750860048,nottingham forest
Leeds United,171.86890873083726,139,,24,275,0.5749512698466981,leeds united
Burnley,157.47441356226471,108,,24,221,0.45979530849811767,burnley
Sunderland,109.85415761926564,19,,4,21,0.8958325108423305,sunderland
