team,current_price
Manchester City,1000.0
Liverpool,717.7194513729237
Manchester United,710.0899149983622
Arsenal,638.99503511602
Chelsea,521.4123285069575
Newcastle United,466.3676176487081
Tottenham Hotspur,444.6768910048231
Aston Villa,290.78161766645604
Nottingham Forest,281.9168657022698
Brentford,264.53503983874236
Everton,248.91936164258735
Bournemouth,229.75383965188405
Brighton and Hove Albion,229.01715006400832
Leeds United,197.98561085127167
Crystal Palace,195.23370920713387
Sunderland,190.12392066908245
Fulham,156.0354523860011
West Ham United,95.7408969216843
Burnley,87.49650711722498
Wolverhampton Wanderers,50.0
